curator_id	curator_initials	curator_name	curation_org_id(FK)
1	MU	Martin Urban	1	
2	TKB	Thomas Baldwin	
3	SH	Sabrina Holland	
4	JVK	Jan van Kan	
5	AB	Andrew Beacham	
6	KHK	Kim Hammond-Kosack	1	
7	RK	Roland Krause	
8	SK	Sophien Kamoun	
9	AI	Alexander Idnurm	
10	DS	Darren Soanes	
11	AS	Ane Sesma	
12	BH	Barbara Howlett	
13	JR	Jason Rudd	
14	HH	Hilde Hansen	
15	JA	John Antoniw	
16	KM	Kerry Maguire	
17	SD	Sian Deller	
18	JK	John Keon	
19	ML	Magdalen Lindeberg	
20	HJ	Helen Jenkins	1	
21	MHK	Michael Hammond-Kosack	1	
22	NB	Neil Brown	
23	ND	Noemie Desmenceux	
24	AC	Alayne Cuzick	1	
25	RP	Rashmi Pant	2	
26	AR	Arathi Raghunath	2	
27	RO	Richard Oliver	
28	HJC	Hans Cools	
29	PR	Pam Ronald	
30	DG	Donald Gardiner	
31	BO	Birgit Oeser	
32	RM	Ros Marshall	
33	AGI	Alistair Irvine	1	
34	MC	Molecular Connections	2	
35	MU	Martin Urban	1	
36	TKB	Thomas Baldwin	
37	SH	Sabrina Holland	
38	JVK	Jan van Kan	
39	AB	Andrew Beacham	
40	KHK	Kim Hammond-Kosack	1	
41	RK	Roland Krause	
42	SK	Sophien Kamoun	
43	AI	Alexander Idnurm	
44	DS	Darren Soanes	
45	AS	Ane Sesma	
46	BH	Barbara Howlett	
47	JR	Jason Rudd	
48	HH	Hilde Hansen	
49	JA	John Antoniw	
50	KM	Kerry Maguire	
51	SD	Sian Deller	
52	JK	John Keon	
53	ML	Magdalen Lindeberg	
54	HJ	Helen Jenkins	1	
55	MHK	Michael Hammond-Kosack	1	
56	NB	Neil Brown	
57	ND	Noemie Desmenceux	
58	AC	Alayne Cuzick	1	
59	RP	Rashmi Pant	2	
60	AR	Arathi Raghunath	2	
61	RO	Richard Oliver	
62	HJC	Hans Cools	
63	PR	Pam Ronald	
64	DG	Donald Gardiner	
65	BO	Birgit Oeser	
66	RM	Ros Marshall	
67	AGI	Alistair Irvine	1	
68	MC	Molecular Connections	2	
